"ID";"ErgZei";"Typ"
327;"Finale";
328;"Rang StNr Boot/Mannschaft Ergebnis";
329;"1 4 Stuttgarter Rudergesellschaft von 1899 e.V. 4:15.10";
330;"Svea Hirsch, Annika Sauter";
331;"2 3 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 4:16.34";
332;"Franziska Klenk, Hannah Schwarzbach +0:01.24";
333;"3 1 Ruderclub Nürtingen e.V. 4:23.16";
334;"Barbara Schöckle, Tanja Knöll +0:08.06";
335;"4 2 Breisacher Ruderverein e.V. 4:25.60";
336;"Anna Leber, Melina Krems +0:10.50";
337;"5 5 Heidelberger Ruderklub 1872 e.V. 4:37.14";
338;"Pauline Rehr, Hannah Ridder +0:22.03";
339;"Schiedsrichter: BRANDT, Joachim (Abstatt, GER)";
340;"Rennen 115 - SM 1x A, Männer-Einer A WP";
341;"Vorlauf 1";
342;"Rang StNr Boot/Mannschaft Ergebnis";
343;"1 3 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 3:33.63";
344;"Tobias Gathmann";
345;"2 6 Karlsruher Rheinklub Alemannia e.V. 3:34.40";
346;"Pablo Briz Zamorano +0:00.77";
347;"3 1 Rudergesellschaft Heidelberg 1898 e.V. (Boot 2) 3:34.97";
348;"Anton Gerner +0:01.34";
349;"4 7 Ruderclub Undine e.V. Radolfzell 3:35.75";
350;"Adrian Rutz +0:02.12";
351;"5 4 Breisacher Ruderverein e.V. (Boot 2) 3:39.03";
352;"Marius Schulz +0:05.40";
353;"6 2 Heidelberger Ruderklub 1872 e.V. (Boot 1) 3:42.75";
354;"Julius Braun +0:09.12";
355;"Schiedsrichter: LANDMANN, Lucas (Breisach, GER)";
356;"Internet: https://breisacher-ruderverein.de Seite 8/46";
357;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
358;"Vorlauf 2";
359;"Rang StNr Boot/Mannschaft Ergebnis";
360;"1 9 Stuttgarter Rudergesellschaft von 1899 e.V. 3:27.70";
361;"Florian Roller";
362;"2 10 Ulmer Ruderclub Donau e.V. 3:36.96";
363;"Mikel Mardaras-Peters +0:09.26";
364;"3 8 Rudergesellschaft Heidelberg 1898 e.V. (Boot 1) 3:39.83";
365;"Paul Lessing +0:12.12";
366;"4 12 Heidelberger Ruderklub 1872 e.V. (Boot 2) 3:47.59";
367;"Jona Hoffmann +0:19.89";
368;"5 13 Breisacher Ruderverein e.V. (Boot 1) 3:52.54";
369;"Paul Rommel +0:24.83";
370;"6 11 Ruderverein Waldsee 1900 e.V. 3:55.88";
371;"Michael Buck +0:28.17";
372;"Schiedsrichter: KORGITZSCH, Frank-Michael (Bad Dürkheim, GER)";
373;"Vorlauf 3";
374;"Finale";
375;"Rang StNr Boot/Mannschaft Ergebnis";
376;"1 9 Stuttgarter Rudergesellschaft von 1899 e.V. 3:48.82";
377;"Florian Roller";
378;"2 10 Ulmer Ruderclub Donau e.V. 3:52.53";
379;"Mikel Mardaras-Peters +0:03.70";
380;"3 3 Stuttgart-Cannstatter Ruderclub von 1910 e.V. 3:59.51";
381;"Tobias Gathmann +0:10.68";
382;"4 1 Rudergesellschaft Heidelberg 1898 e.V. (Boot 2) 4:03.49";
383;"Anton Gerner +0:14.66";
384;"5 6 Karlsruher Rheinklub Alemannia e.V. 4:04.86";
385;"Pablo Briz Zamorano +0:16.03";
386;"6 8 Rudergesellschaft Heidelberg 1898 e.V. (Boot 1) 4:10.90";
387;"Paul Lessing +0:22.07";
388;"Schiedsrichter: MENOLD, Klaus (Heidelberg, GER)";
389;"Abmeldungen";
390;"5 RV Esslingen";
391;"Rennen 116 - JM 1x A, Junioren-Einer A";
392;"Vorlauf 1";
393;"Rang StNr Boot/Mannschaft Ergebnis";
394;"1 2 Ulmer Ruderclub Donau e.V. (Boot 1) 3:34.21";
395;"Anton Frohwein";
396;"2 5 Marbacher Ruderverein von 1920 e.V. (Boot 3) 3:37.11";
397;"Anton Strebel +0:02.89";
398;"3 3 Mannheimer Ruder-Club von 1875 e.V. 3:38.25";
399;"Lars Walter +0:04.03";
400;"4 7 Mannheimer Rudergesellschaft Baden von 1880 e.V. 3:48.80";
401;"Arthur Seeber +0:14.58";
402;"5 6 Breisacher Ruderverein e.V. (Boot 3) 3:52.99";
403;"Marcel Oldekop +0:18.77";
404;"6 4 Ruderverein 'Neptun' e.V. Konstanz gegründet 1885 4:18.10";
405;"Fabian Wiest +0:43.88";
406;"Schiedsrichter: MOLLY, Markus (Winterlingen, GER)";
407;"Internet: https://breisacher-ruderverein.de Seite 9/46";
408;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
409;"Vorlauf 2";
410;"Rang StNr Boot/Mannschaft Ergebnis";
411;"1 14 Marbacher Ruderverein von 1920 e.V. (Boot 1) 3:28.32";
412;"Alfons Bittermann";
413;"2 15 Wassersport-Verein Waldshut e.V. 3:28.58";
414;"Samuel Urwalek +0:00.26";
415;"3 10 Karlsruher Rheinklub Alemannia e.V. 3:36.15";
416;"Max Papp +0:07.83";
417;"4 11 Ruderverein Esslingen e.V. 3:44.36";
418;"Henri Kunze +0:16.04";
419;"5 9 Ruderclub Undine e.V. Radolfzell (Boot 1) 3:46.90";
420;"Jonathan Conrad +0:18.58";
421;"6 13 Rudergesellschaft ""Ghibellinia"" Waiblingen 1920 e.V. 3:54.49";
422;"Florian Schiedt +0:26.17";
423;"Schiedsrichter: KORGITZSCH, Frank-Michael (Bad Dürkheim, GER)";
424;"Vorlauf 3";
425;"Rang StNr Boot/Mannschaft Ergebnis";
426;"1 19 Rudergesellschaft Eberbach 1899 e.V. 3:28.61";
427;"Philipp Ehls";
428;"2 22 Ruderclub Rheinfelden e.V. 3:33.32";
429;"Magnus Penninggers +0:04.71";
430;"3 20 Ulmer Ruderclub Donau e.V. (Boot 2) 3:35.14";
431;"Paul Henßler +0:06.53";
432;"4 21 Ruderclub Undine e.V. Radolfzell (Boot 2) 3:36.25";
433;"Philip Herzog +0:07.63";
434;"5 16 Breisacher Ruderverein e.V. (Boot 2) 3:50.48";
435;"Julius Figlestahler +0:21.87";
436;"18 Heilbronner Rudergesellschaft ""Schwaben"" e.V. (Boot 2) aufgegeben";
437;"Luis Schneider";
438;"Schiedsrichter: LANDMANN, Lucas (Breisach, GER)";
439;"Finale";
440;"Rang StNr Boot/Mannschaft Ergebnis";
441;"1 14 Marbacher Ruderverein von 1920 e.V. (Boot 1) 3:54.29";
442;"Alfons Bittermann";
443;"2 2 Ulmer Ruderclub Donau e.V. (Boot 1) 3:57.20";
444;"Anton Frohwein +0:02.91";
