1;Schnulli Bulli;id;inhalt;quelle
170;Schnulli Bulli;169;1 2 IRL (b) CASEY Aoife 1:46.65 (1) 3:37.96 (1) 5:32.05 (1) 7:24.06 13;Sammelmappe1.pdf (Seite 6)
171;Schnulli Bulli;170;(s) HEGARTY Emily 1:51.31 (1) 1:54.09 (1) 1:52.01 (1);Sammelmappe1.pdf (Seite 6)
172;Schnulli Bulli;171;2 3 AIN (b) RUBTSOVA Marina 1:47.99 (2) 3:42.46 (2) 5:39.44 (2) 7:32.93 14;Sammelmappe1.pdf (Seite 6)
173;Schnulli Bulli;172;(s) PLAKSINA Valentina 1:54.47 (2) 1:56.98 (2) 1:53.49 (2);Sammelmappe1.pdf (Seite 6)
174;Schnulli Bulli;173;1.34 4.50 7.39 8.87;Sammelmappe1.pdf (Seite 6)
175;Schnulli Bulli;174;3 1 HKG (b) WONG Sheung Yee 1:53.51 (3) 3:50.52 (3) 5:49.03 (3) 7:46.44 15;Sammelmappe1.pdf (Seite 6)
176;Schnulli Bulli;175;(s) LEUNG King Wan 1:57.01 (3) 1:58.51 (3) 1:57.41 (3);Sammelmappe1.pdf (Seite 6)
177;Schnulli Bulli;176;6.86 12.56 16.98 22.38;Sammelmappe1.pdf (Seite 6)
178;Schnulli Bulli;177;Legend:;Sammelmappe1.pdf (Seite 6)
179;Schnulli Bulli;178;b bow s stroke;Sammelmappe1.pdf (Seite 6)
180;Schnulli Bulli;179;F Final;Sammelmappe1.pdf (Seite 6)
181;Schnulli Bulli;180;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 6)
182;Schnulli Bulli;181;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 6)
183;Schnulli Bulli;182;Report Created TUE 23 SEP 2025 / 11:45;Sammelmappe1.pdf (Seite 6)
184;Schnulli Bulli;183;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 7)
185;Schnulli Bulli;184;3 Results W2x;Sammelmappe1.pdf (Seite 7)
186;Schnulli Bulli;185;(Event) Women's Double Sculls FA;Sammelmappe1.pdf (Seite 7)
187;Schnulli Bulli;186;FRI 26 SEP 2025 Race 109;Sammelmappe1.pdf (Seite 7)
188;Schnulli Bulli;187;World Best: AUS ALDERSEY Olympia / KEHOE Sally Amsterdam (NED) 2014 World Championships 6:37.31;Sammelmappe1.pdf (Seite 7)
189;Schnulli Bulli;188;World Champ' Best: AUS ALDERSEY Olympia / KEHOE Sally Amsterdam (NED) 2014 World Championships 6:37.31;Sammelmappe1.pdf (Seite 7)
190;Schnulli Bulli;189;World Champion: ROU BODNAR Ancuta / RADIS Simona Belgrade (SRB) 2023 World Championships 6:46.94;Sammelmappe1.pdf (Seite 7)
191;Schnulli Bulli;190;Ctry Total;Sammelmappe1.pdf (Seite 7)
192;Schnulli Bulli;191;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 7)
193;Schnulli Bulli;192;Code Rank;Sammelmappe1.pdf (Seite 7)
194;Schnulli Bulli;193;1 2 NED (b) de JONG Roos 1:39.62 (2) 3:23.06 (2) 5:07.92 (1) 6:49.34 1;Sammelmappe1.pdf (Seite 7)
195;Schnulli Bulli;194;(s) BOONSTRA Benthe 1:43.44 (1) 1:44.86 (3) 1:41.42 (2);Sammelmappe1.pdf (Seite 7)
196;Schnulli Bulli;195;0.38 0.25;Sammelmappe1.pdf (Seite 7)
197;Schnulli Bulli;196;2 3 CHN (b) CHEN Yunxia 1:39.24 (1) 3:22.81 (1) 5:08.22 (2) 6:50.22 2;Sammelmappe1.pdf (Seite 7)
198;Schnulli Bulli;197;(s) ZHANG Ling 1:43.57 (2) 1:45.41 (4) 1:42.00 (3);Sammelmappe1.pdf (Seite 7)
199;Schnulli Bulli;198;0.30 0.88;Sammelmappe1.pdf (Seite 7)
200;Schnulli Bulli;199;3 1 AIN (b) KLIMOVICH Tatsiana 1:43.56 (4) 3:28.96 (5) 5:11.95 (3) 6:53.26 3;Sammelmappe1.pdf (Seite 7)
201;Schnulli Bulli;200;(s) FURMAN Alena 1:45.40 (5) 1:42.99 (1) 1:41.31 (1);Sammelmappe1.pdf (Seite 7)
202;Schnulli Bulli;201;4.32 6.15 4.03 3.92;Sammelmappe1.pdf (Seite 7)
203;Schnulli Bulli;202;4 5 SUI (b) ULRICH Salome 1:43.64 (5) 3:28.61 (4) 5:13.34 (4) 6:55.35 4;Sammelmappe1.pdf (Seite 7)
204;Schnulli Bulli;203;(s) SCHWEIZER Fabienne 1:44.97 (4) 1:44.73 (2) 1:42.01 (4);Sammelmappe1.pdf (Seite 7)
205;Schnulli Bulli;204;4.40 5.80 5.42 6.01;Sammelmappe1.pdf (Seite 7)
206;Schnulli Bulli;205;5 4 FRA (b) RAVERA SCARAMOZZINO Elodie 1:42.45 (3) 3:27.27 (3) 5:13.48 (5) 6:57.39 5;Sammelmappe1.pdf (Seite 7)
207;Schnulli Bulli;206;(s) LUNATTI Emma 1:44.82 (3) 1:46.21 (5) 1:43.91 (5);Sammelmappe1.pdf (Seite 7)
208;Schnulli Bulli;207;3.21 4.46 5.56 8.05;Sammelmappe1.pdf (Seite 7)
209;Schnulli Bulli;208;6 6 GRE (b) ANASTASIADOU Evangelia 1:45.33 (6) 3:31.19 (6) 5:18.91 (6) 7:04.10 6;Sammelmappe1.pdf (Seite 7)
210;Schnulli Bulli;209;(s) FITSIOU Zoi 1:45.86 (6) 1:47.72 (6) 1:45.19 (6);Sammelmappe1.pdf (Seite 7)
211;Schnulli Bulli;210;6.09 8.38 10.99 14.76;Sammelmappe1.pdf (Seite 7)
212;Schnulli Bulli;211;Legend:;Sammelmappe1.pdf (Seite 7)
213;Schnulli Bulli;212;b bow s stroke;Sammelmappe1.pdf (Seite 7)
214;Schnulli Bulli;213;F Final;Sammelmappe1.pdf (Seite 7)
215;Schnulli Bulli;214;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 7)
216;Schnulli Bulli;215;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 7)
217;Schnulli Bulli;216;Report Created FRI 26 SEP 2025 / 14:44;Sammelmappe1.pdf (Seite 7)
218;Schnulli Bulli;217;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 8)
219;Schnulli Bulli;218;3 Results W2x;Sammelmappe1.pdf (Seite 8)
